File Name,Runtime,Nodes Expanded,Moves Required,Solution Cost,Estimated Branching Factor,Search Time
D:\WPI\Sophomore Year\CS534\Assignment1Redo\documentation\test_boards\4x4x2.csv,20,356023,668,4815,1.0193201181441187,N/A
D:\WPI\Sophomore Year\CS534\Assignment1Redo\documentation\test_boards\4x4x2.csv,20,370727,357,2446,1.0365722821033576,N/A
D:\WPI\Sophomore Year\CS534\Assignment1Redo\documentation\test_boards\4x4x2.csv,20,337449,112,770,1.120363628140242,N/A
