File Name,Runtime,Nodes Expanded,Moves Required,Solution Cost,Estimated Branching Factor,Search Time
3x3x2.csv,20,118064,947,3950,1.0124089707097876,3.2697559999942314
3x3x2.csv,25,161218,57,270,1.234122107370966,4.399742299981881
3x3x2.csv,30,961352,392,1727,1.0357679184494217,28.64069830000517
3x3x2.csv,35,510030,521,2083,1.0255458420402617,16.615991700004088
3x3x2.csv,40,126480,354,1585,1.0337427842981664,3.661786000011489
3x3x2.csv,45,469144,676,2896,1.019505343006382,12.556292199995369
3x3x2.csv,50,1517866,350,1357,1.0415033398202596,42.37625799997477
3x3x2.csv,55,257444,187,757,1.0688927527112295,6.864679999998771
3x3x2.csv,60,1677914,238,1036,1.062073308562003,50.253918500005966
