File Name,Heuristic,Weighted,Nodes Expanded,Moves Required,Solution Cost,Estimated Branching Factor,Search Time
3x3x2.csv,Sliding,True,454,30,123,1.503616410121636,0.11385029999655671
3x3x2.csv,Sliding,False,330,22,93,1.694165418849571,0.05355740000959486
3x3x2.csv,Greedy,True,407,34,141,1.4239854555574283,0.10120770000503398
3x3x2.csv,Greedy,False,198,20,89,1.696940125495355,0.029863599978853017
3x3x3.csv,Sliding,True,40,17,83,1.5066301902946675,0.004546900017885491
3x3x3.csv,Sliding,False,52,15,69,1.6387036383320355,0.006131600006483495
3x3x3.csv,Greedy,True,38,17,83,1.4980679431428716,0.004798700014362112
3x3x3.csv,Greedy,False,24,15,69,1.4877378261644902,0.0046310999896377325
4x4x2.csv,Sliding,True,1796,109,714,1.1459593331982332,2.6290947000088636
4x4x2.csv,Sliding,False,2880,53,372,1.3431534987253468,5.5383325000002515
4x4x2.csv,Greedy,True,1675,89,664,1.1793556000417325,2.279656900005648
4x4x2.csv,Greedy,False,3796,53,404,1.356961847561903,18.12447290000273
board1.csv,Sliding,True,541,29,119,1.5212939950900706,0.16722209998988546
board1.csv,Sliding,False,396,21,93,1.722479682181925,0.08768940001027659
board1.csv,Greedy,True,873,23,97,1.75826576591275,0.42078039998887107
board1.csv,Greedy,False,246,17,73,1.8435692529320744,0.047650799999246374
board10.csv,Sliding,True,2,2,7,2.0,0.0008849000150803477
board10.csv,Sliding,False,2,2,7,2.0,0.0009252000018022954
board10.csv,Greedy,True,2,2,7,2.0,0.0007530000002589077
board10.csv,Greedy,False,2,2,7,2.0,0.0007278999837581068
board11.csv,Sliding,True,4,4,14,2.0,0.0010541000228840858
board11.csv,Sliding,False,5,4,14,2.23606797749979,0.0011808000272139907
board11.csv,Greedy,True,4,4,14,2.0,0.001192000025184825
board11.csv,Greedy,False,5,4,14,2.23606797749979,0.0011320000048726797
board12.csv,Sliding,True,6,6,19,1.8171205928321397,0.0015237000188790262
board12.csv,Sliding,False,8,6,19,2.0,0.0016078999906312674
board12.csv,Greedy,True,6,6,19,1.8171205928321397,0.0012581000046338886
board12.csv,Greedy,False,8,6,19,2.0,0.001347499986877665
board13.csv,Sliding,True,4,4,12,2.0,0.0009376999805681407
board13.csv,Sliding,False,4,4,12,2.0,0.0008873999759089202
board13.csv,Greedy,True,4,4,12,2.0,0.001002699980745092
board13.csv,Greedy,False,4,4,12,2.0,0.0012206000101286918
board14.csv,Sliding,True,4,4,14,2.0,0.0010137000062968582
board14.csv,Sliding,False,5,4,14,2.23606797749979,0.0009643999801483005
board14.csv,Greedy,True,4,4,14,2.0,0.0009434999956283718
board14.csv,Greedy,False,5,4,14,2.23606797749979,0.000992199988104403
board15.csv,Sliding,True,5,5,17,1.7099759466766968,0.0010289999772794545
board15.csv,Sliding,False,7,5,17,1.912931182772389,0.0010920999920926988
board15.csv,Greedy,True,5,5,17,1.7099759466766968,0.0010606000141706318
board15.csv,Greedy,False,7,5,17,1.912931182772389,0.0011486999865155667
board16.csv,Sliding,True,31,9,30,1.9873407546644581,0.002945300017017871
board16.csv,Sliding,False,11,9,30,1.615394266202178,0.001974100014194846
board16.csv,Greedy,True,121,17,66,1.7038077788032318,0.014261700009228662
board16.csv,Greedy,False,11,9,30,1.615394266202178,0.019802499999059364
board17.csv,Sliding,True,30,9,32,1.97435048583482,0.004539799992926419
board17.csv,Sliding,False,11,9,32,1.615394266202178,0.0028120999922975898
board17.csv,Greedy,True,36,9,32,2.0476725110792193,0.003994900005636737
board17.csv,Greedy,False,11,9,32,1.615394266202178,0.0017631000082474202
board2.csv,Sliding,True,949,53,384,1.2890480878425594,1.6576284000184387
board2.csv,Sliding,False,568,29,234,1.526241373870965,0.5607982999936212
board2.csv,Greedy,True,3315,85,648,1.2074571014097657,26.36057799999253
board2.csv,Greedy,False,1084,25,228,1.7118424468391515,2.4160934999817982
board3.csv,Sliding,True,4,4,18,2.0,0.0014029000012669712
board3.csv,Sliding,False,4,4,18,2.0,0.001233399991178885
board3.csv,Greedy,True,4,4,18,2.0,0.001416000013705343
board3.csv,Greedy,False,4,4,18,2.0,0.0014202999882400036
board4.csv,Sliding,True,25,6,26,2.924017738212866,0.0027667999966070056
board4.csv,Sliding,False,8,6,26,2.0,0.0021558000007644296
board4.csv,Greedy,True,34,6,26,3.239611801277483,0.0024028000188991427
board4.csv,Greedy,False,8,6,26,2.0,0.0018671999860089272
board5.csv,Sliding,True,5,5,60,1.7099759466766968,0.0014826999977231026
board5.csv,Sliding,False,6,5,60,1.8171205928321397,0.0017807999975048006
board5.csv,Greedy,True,5,5,60,1.7099759466766968,0.0013288999907672405
